d,replica,semilla,intentos,tiempo_ms
4,42,20264867,31855,1735.8597998972982
4,43,20264868,9547,620.6286000087857
4,44,20264869,12324,789.3253001384437
4,45,20264870,178299,12976.113799959421
4,46,20264871,10485,850.061499979347
4,47,20264872,36040,2405.3944000042975
4,48,20264873,22898,1743.3245000429451
4,49,20264874,39627,2824.575300095603
4,50,20264875,38069,2730.164699954912
4,51,20264876,20833,1415.1610999833792
4,52,20264877,45434,2973.7815998960286
4,53,20264878,76160,5326.457499992102
4,54,20264879,3019,168.04210003465414
4,55,20264880,65581,4282.850699964911
4,56,20264881,76450,5483.857899904251
4,57,20264882,136794,9490.782900014892
4,58,20264883,12395,907.332600094378
4,59,20264884,33211,2176.3021999504417
4,60,20264885,28470,1980.643699876964
4,61,20264886,55200,4235.2076000534
4,62,20264887,10806,926.3094000052661
4,63,20264888,21633,1635.53009997122
4,64,20264889,148367,10289.6871000994
4,65,20264890,4896,318.47029994241893
4,66,20264891,23359,1851.8439000472426
4,67,20264892,29619,2105.7394000235945
4,68,20264893,19675,1356.9776001386344
4,69,20264894,5675,383.13669990748167
4,70,20264895,125410,8813.396600075066
4,71,20264896,40044,3033.575300127268
4,72,20264897,157466,11123.500700108707
4,73,20264898,28918,2072.5903999991715
4,74,20264899,58278,3928.1085999682546
4,75,20264900,526,21.273300051689148
4,76,20264901,91825,6246.106799924746
4,77,20264902,129051,9334.291199920699
4,78,20264903,153872,12223.27860002406
4,79,20264904,75260,5114.150800043717
4,80,20264905,124202,8896.006399998441
4,81,20264906,147021,10164.90520001389
4,82,20264907,210267,14336.494999937713
4,83,20264908,975,73.425899958238
4,84,20264909,5871,397.8878001216799
4,85,20264910,102249,6701.832399936393
4,86,20264911,24506,1806.0757999774069
4,87,20264912,39761,2832.9961001873016
4,88,20264913,3057,262.8657000605017
4,89,20264914,28223,2143.235699972138
4,90,20264915,95098,7178.054900141433
4,91,20264916,14989,1026.7672000918537
4,92,20264917,225278,15332.304700044915
4,93,20264918,45937,3146.281799999997
4,94,20264919,50349,3665.49489996396
4,95,20264920,33368,2365.7241000328213
4,96,20264921,77142,5596.404100069776
4,97,20264922,14292,952.013400150463
4,98,20264923,105043,7638.154100161046
4,99,20264924,26037,1710.3663999587297
5,0,20265825,286212,28142.13060005568
5,1,20265826,582724,57004.13000001572
5,2,20265827,548809,38933.00640000962
5,3,20265828,711394,51473.90139987692
5,4,20265829,1220217,90737.70110006444
5,5,20265830,992725,61900.120300007984
5,6,20265831,746048,53207.17760012485
5,7,20265832,673967,51900.64789983444
5,8,20265833,119948,8067.718300037086
5,9,20265834,517302,36289.073299849406
5,10,20265835,2157313,383997.04019981436
5,11,20265836,115219,23273.254100000486
5,12,20265837,982671,195109.2623998411
5,13,20265838,758160,147677.6755999308
5,14,20265839,2427892,157817.40990001708
5,15,20265840,1346515,84968.67050020956
5,16,20265841,1931989,120787.41350001656
5,17,20265842,842733,54250.02050003968
5,18,20265843,978535,57877.80679995194
5,19,20265844,146896,7687.045099912211
5,20,20265845,226307,13149.583599995822
5,21,20265846,191893,10362.993200076744
5,22,20265847,1500474,90773.01239990629
5,23,20265848,334584,37096.680799964815
5,24,20265849,2044896,190203.0841000378
5,25,20265850,3897146,326320.9049999714
5,26,20265851,342903,26568.16229992546
5,27,20265852,544741,41876.048299949616
5,28,20265853,919575,70839.38560006209
5,29,20265854,424736,33842.047499958426
6,0,20266825,26201240,1514168.0650000926
6,1,20266826,27120213,1299604.7019998077
6,2,20266827,15725976,683135.6355999596
6,3,20266828,17604950,685064.2291000113
6,4,20266829,9804640,381821.975100087
6,5,20266830,39052873,1519146.3656001724
6,6,20266831,3058969,120560.92340010218
6,7,20266832,2406326,93616.43880000338
6,8,20266833,646655,25513.62350001
6,9,20266834,837344,32254.051700001583
7,0,20267825,123338280,4798286.037900019
7,1,20267826,414927276,13480386.375200003
7,2,20267827,96618626,3086812.092399923
